UserId;RoleId;FirstName;SecondName;MiddleName;Login;PasswordHash
1;1;Весения;Никифорова;Николаевна;94d5ous@gmail.com;uzWC67                                            
2;1;Руслан;Сазонов;Германович;uth4iz@mail.com;2L6KZG                                            
3;1;Серафим;Одинцов;Артёмович;yzls62@outlook.com;JlFRCZ                                            
4;2;Михаил;Степанов;Артёмович;1diph5e@tutanota.com;8ntwUp                                            
5;2;Петр;Ворсин;Евгеньевич;tjde7c@yahoo.com;YOyhfR                                            
6;2;Елена;Старикова;Павловна;wpmrc3do@tutanota.com;RSbvHv                                            
7;3;Анна;Михайлюк;Вячеславовна;5d4zbu@tutanota.com;rwVDh9                                            
8;3;Елена;Ситдикова;Анатольевна;ptec8ym@yahoo.com;LdNyos                                            
9;3;Петр;Ворсин;Евгеньевич;1qz4kw@mail.com;gynQMT                                            
10;3;Елена;Старикова;Павловна;4np6se@mail.com;AtnDjr                                            
